17:18:41.308 [SpringApplicationShutdownHook] INFO  c.a.n.c.i.CredentialService - [free,99] - [null] CredentialService is freed
17:18:41.308 [SpringApplicationShutdownHook] INFO  c.a.n.client.naming - [shutdown,523] - com.alibaba.nacos.client.naming.remote.http.NamingHttpClientProxy do shutdown stop
17:18:41.308 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [shutdown,461] - Shutdown rpc client ,set status to shutdown
17:18:41.308 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [shutdown,463] - Shutdown  client event executor java.util.concurrent.ScheduledThreadPoolExecutor@141afece[Running, pool size = 2, active threads = 2, queued tasks = 0, completed tasks = 0]
17:18:41.308 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [shutdown,465] - Close current connection 1635316709837_127.0.0.1_4977
17:18:41.310 [nacos-grpc-client-executor-2012] INFO  c.a.n.c.r.c.g.GrpcClient - [printIfInfoEnabled,60] - [1635316709837_127.0.0.1_4977]Ignore complete event,isRunning:false,isAbandon=false
17:18:41.314 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.c.g.GrpcClient - [shutdown,83] - Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@46a24eee[Running, pool size = 6, active threads = 0, queued tasks = 0, completed tasks = 2013]
17:18:41.314 [SpringApplicationShutdownHook] INFO  c.a.n.client.naming - [shutdown,251] - Shutdown grpc redo service executor java.util.concurrent.ScheduledThreadPoolExecutor@16657081[Running, pool size = 1, active threads = 0, queued tasks = 1, completed tasks = 3195]
17:18:41.315 [SpringApplicationShutdownHook] INFO  c.a.n.client.naming - [shutdown,182] - com.alibaba.nacos.client.naming.remote.NamingClientProxyDelegate do shutdown stop
17:18:45.867 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.0.Final
17:18:46.384 [main] INFO  c.a.n.c.c.i.LocalConfigInfoProcessor - [<clinit>,67] - LOCAL_SNAPSHOT_PATH:C:\Users\清研\nacos\config
17:18:46.387 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,77] - [RpcClientFactory] create a new rpc client of 3515fe8d-b3f6-4eec-936b-415bf860b3dd_config-0
17:18:46.423 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 18 ms to scan 1 urls, producing 3 keys and 6 values 
17:18:46.441 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 9 ms to scan 1 urls, producing 4 keys and 9 values 
17:18:46.452 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 8 ms to scan 1 urls, producing 3 keys and 10 values 
17:18:46.460 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 6 ms to scan 1 urls, producing 1 keys and 5 values 
17:18:46.469 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 7 ms to scan 1 urls, producing 1 keys and 7 values 
17:18:46.479 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 8 ms to scan 1 urls, producing 2 keys and 8 values 
17:18:46.482 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [3515fe8d-b3f6-4eec-936b-415bf860b3dd_config-0]RpcClient init label, labels={module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
17:18:46.482 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [3515fe8d-b3f6-4eec-936b-415bf860b3dd_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$452/0x000000080040c840
17:18:46.483 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [3515fe8d-b3f6-4eec-936b-415bf860b3dd_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$453/0x000000080040cc40
17:18:46.483 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [3515fe8d-b3f6-4eec-936b-415bf860b3dd_config-0]Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
17:18:46.484 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [3515fe8d-b3f6-4eec-936b-415bf860b3dd_config-0]RpcClient init, ServerListFactory =com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
17:18:46.491 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [3515fe8d-b3f6-4eec-936b-415bf860b3dd_config-0] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
17:18:47.619 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [3515fe8d-b3f6-4eec-936b-415bf860b3dd_config-0] Success to connect to server [127.0.0.1:8848] on start up,connectionId=1635326327439_127.0.0.1_13749
17:18:47.626 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [3515fe8d-b3f6-4eec-936b-415bf860b3dd_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
17:18:47.628 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [3515fe8d-b3f6-4eec-936b-415bf860b3dd_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$4
17:18:47.627 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [3515fe8d-b3f6-4eec-936b-415bf860b3dd_config-0]Notify connected event to listeners.
17:18:47.629 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.c.i.ClientWorker - [onConnected,681] - [3515fe8d-b3f6-4eec-936b-415bf860b3dd_config-0] Connected,notify listen context...
17:18:47.664 [main] INFO  c.a.n.c.c.i.Limiter - [<clinit>,56] - limitTime:5.0
17:18:47.677 [main] INFO  c.a.n.c.c.u.JvmUtil - [<clinit>,53] - isMultiInstance:false
17:18:47.708 [main] INFO  c.r.f.RuoYiFileApplication - [logStartupProfileInfo,663] - The following profiles are active: dev
17:18:49.844 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9300"]
17:18:49.845 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
17:18:49.845 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.53]
17:18:50.001 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
17:18:50.962 [main] INFO  c.a.c.s.SentinelWebAutoConfiguration - [addInterceptors,80] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
17:18:51.616 [main] INFO  c.a.n.client.naming - [initNamespaceForNaming,63] - initializer namespace from System Property : null
17:18:51.616 [main] INFO  c.a.n.client.naming - [call,69] - initializer namespace from System Environment :null
17:18:51.617 [main] INFO  c.a.n.client.naming - [call,79] - initializer namespace from System Property :null
17:18:51.633 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,77] - [RpcClientFactory] create a new rpc client of 5ab2f064-5c43-4131-b293-f2d33c0461e5
17:18:51.634 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5ab2f064-5c43-4131-b293-f2d33c0461e5]RpcClient init label, labels={module=naming, source=sdk}
